,tweet_processed,Topics
1642,mountain calling covid- affected world,economy
1641,kolkata cityview after  days of lockdown during this coronavirus coronavirisoutbreak,economy
1640,our kind of good mornings pre during and post those drops of sweat not sure of corona but the breathlessness in the ppes are one hell of a time,economy
1597,areas affected by covid patients as of today,economy
1608,warm greetings to all of you on the world environment day we are all struggling with this corona period let's all resolve to remove the corona is to plant trees at home,economy
1633,what a day it was all the fun-filled days were gone all were closed inside the house due to the corona virus,economy
1609,even in covid- situation your wedding and events can be best,economy
1612,it is very important to save water as every drop counts as most of us are home and contributing our bit towards the pandemic,economy
1632,fire and rescue emergency services decontaminate area during nationwide lockdown to slow the spreading of coronavirus in ahmedabad,economy
1627,after two months gap due to the effect of covid pandemic we could reopen the church this morning as we changed the time frames the service starts am to am,economy
1629,covid- national lockdown day ,economy
1631,sir it's time to call one day joint parliamentary session on covid lock down results to explain which touches roots in villages in the country,economy
1572,we all are very well aware of how important it is to sanitize our hands frequently from time to time to stop the spread of covid ,economy
135,"the day  covid- report of india  abc live india  








covid 



covidvaccine covid ( ",economy
1571,this corons time is an amazing opportunity to unlearn and relearn,economy
1569,the eid in the pandemic time,economy
1476,last year i had a broken ankle on my bday and this year the coronavirus is trynna ruin it,economy
1489,covid has created uncertainity in our future but do mot panic,economy
1500,this is last week of the holy month of ramzan but for the coronavirus-induced lockdown mohammed ali road and bhendi bazaar areas in south mumbai would have been crazily crowded at this time,economy
1502,it's a dark time to be all of us ,economy
1503,we never forget this time ,economy
1504,-year-old woman weighing  kgs from odisha recovered from the coronavirus,economy
1505,n -year-old woman weighing just  kg in odisha's jajpur district has successfully battled against the current coronavirus,economy
1507,in these times of covid- and lockdowns - i have looked to my past realized my mistakes and now only wish to see my future,economy
1513,the north and east zones of the city remained the worst affected areas due to covid- in the city,economy
1522,realise how important socialdistancing in the times of coronavirus,economy
1524,today is monday may the th in india where my wife nilu and i are stranded due to covid- national lockdown however that does not dampen our enthusiasm to celebrate the th birthday of our second grandson,economy
215,"admital of purposely creating a two tier society more evidence of war crimes for the future trials of these deplorable creatures your day is coming 
crimesagainsthumanity covidvaccine covid covidvaxexposed twotiersociety
",economy
212,the top three players in world tennis have not committed to taking the covidvaccine now novakdjokovic owes fans sponsors hospitality workers airline staff people around the world an explanation djokovic medvedev tsitsipas vaccineswork savelives  ,economy
1537,as a forward-thinking company we had systems and procedures in place to execute services remotely and virtually prior to covid-,economy
1540,many jails are already suffering with corona outbreaks with hundreds of patients at such times it's important that prisoners from other jails are released on parole so that such a scenario can be avoided in other prisons,economy
1651,this year the celebration goes online due to covid-,economy
1650,we are slowly starting our treks for you with utmost safety well no one ever thought we would come to this point when there will be socialdistancing even on a trek this maybe a phase for sometime,economy
199,"let me get this straight we can't trust  over a  year research (supposedly)

but we can trust a vaccine that has little to no research

yup that's the society of stupidity we live in 

covidvaccine valkyrae",economy
1557,ask ur questions allay your fears learn the tips to save urself from corona,economy
1570,corona time is very challenging,economy
1276,when going to beach was normal eating in restaurant was normal want to go back to normal times lifestyle changes,economy
447,"the disruption comes at a time when both automakers and electronic companies in india were looking to scale up production with strong demand with the waning of the pandemic
russiaukraineconflict   ",economy
364,what lessons has the healthindustry learned from the covidcrisis  from  notes that it may be time to move systems from price-only tenders towards smart procurement where sustainability and supply considerations are taken into account foedebate ,economy
1229,in india the situations are bit more critical than other countries as it is predicted that more people will suffer and might die because of poverty and hunger than covid related infections,economy
1750,covid- is changing consumer purchase habits rapidly and globally the good news is there are patterns to their actions,economy
1730,mass hysteria isnt going to successfully deal with covid-,economy
1243,time will heal everything covidwaves covidvaccines,economy
1180,cinema halls will be the last bastions to fall post covid lockdown,economy
1717,an open letter to consumer-debt holding organizations and others: we are at the precipice of a crisis of household economy please suspend debts (and interest/fees) for sixty days in response to the covid- crisis,economy
1226,list of covid affected areas in chennai,economy
87,what fcking madness is this sit now santa's gift is a covidvaccine to  year olds what world are we living in where this is celebrated our society is broken to the core where is the science where coviduk coronavirusuk covid leaveourkidsalone ,economy
86,"as you can see about  of the time

you can find the entire report here: getvaccinated covid covidvaccine",economy
1262,lockdown time,economy
1225,list of covid affected areas in vadodara,economy
1739,covid lockdown situation is like our own existential crisis hanging over our heads pm callscurfewextension,economy
1727,my office is ready to prosecute price-gougers as we deal with coronavirus,economy
1203,bad news india got th rank in the world list of corona virus infected cases,economy
1224,list of covid affected areas in delhi,economy
104," a -year-old woman
-  days after the first covidvaccine (astrazeneca): fatigue amp; chills a day later: acute onset of global aphasia amp; right sided hemiplegia
 vaccine-induced immune thrombotic thrombocytopenia related acute ischemic stroke
",economy
1240,while battling the pandemic we maintained social distance which was healthy for us and our environment,economy
1214,how are you dealing with covid- stress with extended lockdown,economy
1236,quarantine diaries love in the time of corona today we saw two lovebirds from the nearby shantytown stroll by an empty street,economy
1216,after corona virus the world will never be the same,economy
1176,be kind to address fear during coronavirus,economy
1741,given restrictions around covid  fic will be postponed till interest in food security is increasing amp we ll be meeting the demand for thought provoking discussions examining food issues experienced during the epidemic amp those we re likely to experience going forward,economy
1274,in the time of covid,economy
105,"a -year-old woman
-  days after st dose of the covidvaccine (j amp; j): headache myalgia amp; fever  days later: persistent headaches amp; onset of left leg pain  days later: vomiting episodes
 superior sagittal sinus thrombosis
- she died
",economy
1719,people seen stocking up on goods into trolleys after the panic buying rumours spread today at hypermarket in bangalore,economy
392,"covid is still not over and china is facing its outbreak

voiceofhealth coronavirus pandemic coronavirusindia covid corona covid covid coronanews covidindia covidnews socialdistancing  omicron newvariant ",economy
1521,support the fight against covid by supporting doctors nurses technicians healthworkers in government hospitals,health
1788,startups and businesses in corona situation delhi,health
1138,covid on duty no rest forntline worker no salary,health
1658,when covid brought chennai communities together,health
1530,when gonna life be like that again who says like many other viruses corona virus may possibly stay here for ever herd immunity takes years to develop,health
856,"     india has  crores people with less death rates having the limited hospital facilities whereas us has  crores people with more death rates having the advance hospital facilities fyi even us was shortage of oxygen when it dealt with covid read below
",health
1535,so happy to share the pictures of our one day workshop on managing stress during covid- lockdown,health
1736,life style changes is necessary to fight the battle against corona virus,health
851," no covid in india
no data
no shortage of oxygen cylinder
no mogrant crisis

just int'l conspiracy to defame ",health
1542,security is not doing anything for social distance postoffice modasa,health
1656,dear friends we at fc deccan extend our support to corona warriors be it doctors police health care workers etc lets continue social distancing,health
1520,lockdown stress disrupts women's work-life balance: india like many other countries is in a complete lockdown owing to the covid- global health crisis,health
857,     there is no delhi variant idiot you need education more than anything look at the death rate in us and india u will get ur answer when india was shortage of oxygen during covid- then india paid the money when it brought oxygen cylinders from other countries,health
1541,social distance is hell here ,health
850,"  oh u believe in official figures so much then u will also agree that there were zero oxygen related deaths in india during covid nd wave

if you don't then why are you believing in official figures now on kps",health
1735,who else enjoy working from home,health
870," vacancieskindly don't waste the post graduate seats india needs doctors re-revise the cutoff
they stood in frontline for covid duty india they need you this very moment reduceneetpgcutoffmore
medtwitter
   ",health
862,vaccine corona vaccine corona second wave corona cases in india corona cases in bengal corona second wave in india corona second wave impact bed shortage in hospitals oxygen shortages in hospitals narendra modi mamata banerjee over covid- mamata banerjee over ,health
1123,masl os the newstyle,health
1494,staysafe stayinhealthysociety corona don't know who u are,health
1495,salute to the nurses helping us fight in this crucial time,health
901,agile approach to tackle post covid economy has been fostering not only india's external sector strength but also  pushing supply side growth that's aatmanirbharbharat  kudos to our policy makers  mam  sir ,health
899,fitch slashes fy india growth forecast to  on high energy prices in its global economic outlook-march  fitch said the post-covid- pandemic recovery is being hit by a potentially huge global supply shock that news by economictimes ,health
1497,thank you to all the nurses who care for us and keep our loved ones safe your role at the frontline in the fight against covid- is an epitome of selflessness devotion and dedication,health
895, india covid: economy sees record growth during deadly wave - bbc news ,health
1124,maskupindia,health
1204,kerala police honoured sanitation workers at the covid wards of the medical college state police chief loknath behra ips inaugurated a function organised by nanma foundation and kerala police,health
894,the agency said the post-covid- pandemic recovery is being hit by a potentially huge global supply shock that will reduce growth and push up inflation ,health
1131,i found my childhood during this workfromhome,health
742,india likely to be the biggest beneficiary of this shift from jit to jic manufacturing/global sourcing ( china and more),health
880,"       kseats aiqstate neetpg kindly don't waste  pgseatsindia needs doctorsre-revise cutoff and reschedule mopup
we stood in frontline covid dutyindiawe need you  reduceneetpgcutoffmore",health
879,"humble request to   please change name of covid to another namei believe it will helpful for decreasing mental stress in mindother wise next pandemic will mental stress and we don't have a good number of doctors in same field
mentalhealthmatters mentalhealth",health
875,"recognise importance of vaccination for healthier india

on nationalvaccinationday saluting all doctors nurses amp; health workers who worked tirelessly to make india's vaccination drive against covid great success amp; spread great awareness among all of us to fight the disease ",health
874,this nationalvaccinationday let's remind ourselves of the significant importance of immunisationlet us pledge to ensure a timely covid- vaccine we also salute all doctors nurses amp; other health workers who are working tirelessly to make india's vaccination drive a success ,health
1508,in this menace of corona it's important to boost immunity n to enhance lung's expansion capacity so one must practice pranayam,health
1728,plus side to covid- is saving money,health
1660,corona must go like this cloud rajkot,health
1544,indiafightscorona mask covid coronavirus,health
869, bartan bajaaye the sabne india mein to honour our doctors and nurses working / during covid peak,health
867,vaccine corona vaccine corona second wave corona cases in india corona cases in bengal corona second wave in india corona second wave impact bed shortage in hospitals oxygen shortages in hospitals narendra modi mamata banerjee over covid- mamata banerjee over ,health
865,vaccine corona vaccine corona second wave corona cases in india corona cases in bengal corona second wave in india corona second wave impact bed shortage in hospitals oxygen shortages in hospitals narendra modi mamata banerjee over covid- mamata banerjee over ,health
1659,covid can't stop work specially when your work is online remote working is great flexible,health
1519,in a relief to real estate developers the finance minister announced the measures under covid relief package for the real estate sector selfreliantindia,health
861,asian oil amp; gas award for covid management recognises indianoil's social outreaches during covid nd wave in india whereby indianoil diverted its refinery's oxygen to shore up lmo supply coordinated cross-country medical oxygen logistics amp; supported vaccination drives,health
1545,corona too will pass away like these clouds,health
1045,coronavirus: indian doctors nurses overseas desperate to come home as borders close,health
1654,support medical professionals and healthcare staff during this covid crisis fight against covid contribute for ppe kits,health
1181,to all the nurses who are continuously risking their lives for the safety of others during this covid- outbreak we want to say thank you for everything you are doing internationalnursesday,health
1589,startups and businesses in corona situation delhi,health
1158,jaipur jail has become new corona hotspot,health
1773,be careful what you writepost on social media nowadays since its covid season it might be your last post and the first thing on your feed when people come to your profile when they hear the news of your death,health
1179,sustaining a sustainable business is a challenge during covid,health
1593,the corona warriors keep distance enjoy quarantine,health
1161,sms pharmaceuticals share price zooms after bagging licence to manufacture supply oral covid vaccines,health
1598,the govt has done its bit has brought us to the brink of victory now it's upto us citizens of our great country india to win the fight show we can beat this virus corona,health
1600,a token of appreciation for all the members of south zone chapter and chapter covid- warriors for their selfless support and voluntary contributions,health
798,sms pharmaceuticals share price zooms after bagging licence to manufacture supply oral covid vaccines ,health
797,"diesel price hiked rs  per litre for bulk users  what this means for you
bits news india news covid coronavirus like india love instagram media follow music viral fashion breakingnews instagood noticias corona politics trending repo ",health
1638,a musical tribute to all the frontline corona workers,health
1183,throwback to the pre-covid delhi streets,health
1634,humans under attack corona locust in north west india and now crows attack humans in saudi,health
1755,the indian red cross society salcete covid relief team,health
792,"'nature of work' will decide whether wfh can be availed under maternity benefit act: karnataka hc lawyered law nature work workfromhome maternity benifit women karnataka highcourt india news 

",health
789,"india is already adjusting its policies and tax breaks to support a post pandemic] remote work setup the philippines said the officials of outsourcing advisor the everest group] should do the same or get left behind

",health
1162,bandhu india along with delhi police salutes all super hero's of coronavirus pandemic tomorrow at  pm at parliament street new delhi,health
1764,delhi police bandhu india salutes super heros of corona warriors at parliament street police station new delhi,health
1616,reimagining india for the post-covid world: true nationalism is taking pride first in the collective health of the country,health
1619,maskup india need to save yoour loved ones,health
775,"          youths of mumbai wants following changes:

work life balance with / day working
clean air frm petrol diesel vehicles
minimum wage k
offices should provide traveling passes or if they cannot then wfh",health
769,only  employees of boston scientific india have opted for fully remote model wfh samratsarkar bsci bostonscientificindia interviews editorspick futureofwork hiringplans  ,health
1626,salute to corona warriors,health
1760,i predict that the first batch of vaccines won't work rushing the vaccines will only lower the quality and trustworthiness of medical professionals,health
1175,welcome all to salute corona warriors parliament street police station,health
1178,this covid changing our old perception of real hero salute corona warriors,health
1547,all our businessmen are in tremendous tension that how to handle business in post-corona lockdown period,health
813,"covid-: no patient died due to oxygen shortage in gujarat hospitals minister rushikesh patel tells assembly
 

covid oxygenshortage coronavirusupdates
 ",health
816,no covid- deaths due to oxygen shortage in gujarat hospitals: state health minister to assembly  indianews ,health
1780,the centers for disease control prevention says there is higher risk of severe complications from covid- for the elderly those with chronic health conditions,health
845,should not a movie covid nd wave files be made that resulted in  lakh deaths due to lack of oxygen in india  genocide  ,health
1193,tribute to all corona warriors from bandhu india pariwar,health
1478,dude been talking like an expert for weeks didnt even know what a corona virus actually is smh just speaking nonsense,health
1556,the indian red cross society salcete covid relief team,health
1148,covid has led many companies to recommend that employees work from home for many remote work is a new reality and one that takes some getting used to,health
1561,i predict that the first batch of vaccines won't work rushing the vaccines will only lower the quality and trustworthiness of medical professionals,health
1565,delhi police bandhu india salutes super heros of corona warriors at parliament street police station new delhi,health
1151,my quarantine life covid =wave covid stayhome,health
1747,covid- is impacting supply chain trade the workforce and so much more we have put together a guide on what business leaders should know,health
1191,diy or do it yourself is going to be new normal postcovid lifestylechanges,health
1189,mental health management may become bigger challenge to handle in post covid era,health
814,"no covid patient died due to shortage of medical oxygen in gujarat hospitals as claimed by the opposition: state health minister rushikeshpatel

",health
1574,be careful what you writepost on social media nowadays since its covid season it might be your last post and the first thing on your feed when people come to your profile when they hear the news of your death,health
1187,if we are alive in this fight of covid  only because of the corona warriors,health
831,"it was this guy that helped madikeri mandya regions with large medical supplies during covid when our govt of india went to supreme court against ka saying that they won't give oxygen cylinders to people of karnataka

",health
830, govt figures in india are  crap acc to up govt no person died in the nd wave of covid due to lack of oxygen not even bjp supporters believe that nonsense  figure is closer to reality but it was  cuz d kps left before d rest cld be killedie ethnic cleansing btw ,health
829,"jspl foundation's role in supplying oxygen and other relief works during the pandemic was simply extraordinary this recognition was long due

",health
827,  kangaroo too mild it is my kingdom my rule kon  mimicking mafia amp; mecca/vatican god  allowed anarchy on covid oxygen supply chain leading to deaths of thousands o/side delhi to save  their own clan  delhi/bengal/ucc riot recused/criminals freed to do more crimes,health
1648,covid- relief package: top five income tax relaxations,health
825,assam electricity regulatory commission has allowed rebate of  in energy charges for oxygen manufacturing units abhijit barooah managing director premier cryogenics limited told et  during the second wave of covid news by economictimes ,health
823,hospitals desperate for oxygen as india battles covid crisis  nbc nightlynews ,health
822,"the assam electricity regulatory commission has allowed a  percent rebate on total energy charge to the oxygen manufacturing plants for their continued contribution by supplying oxygen during the covid-induced crisis phase officials said on monday
",health
1581,the centers for disease control prevention says there is higher risk of severe complications from covid- for the elderly those with chronic health conditions,health
818,no covid- deaths due to oxygen shortage in gujarat hospitals: state health minister to assembly ,health
817,"no covid patient died due to oxygen shortage in gujarat hospitals health minister tells assembly 
covid pandemic 
",health
833,so not one died of oxygen shortage during peak covid in india right  ,health
843,  perhaps it should be called oxygen files rather than covid files ,health
1463,i saw a tweet dat said corona saved us from the bullshit class of  was finna wear to prom,health
1469,we're fighting corona virus and you're here saying you didn't see your period do you really care about your country,health
1331,even when you maskup and get your booster life conditions under the covid pandemic are stressful and can seriously affect your mental health,health
994,"fourth wave of covid- in india: sars-cov- mutations are bound to occur but severe impact of any future wave unlikely 
 thwaveinindia fourthwaveinindia fourthwaveofcovid fourthwaveofcovid-inindia 
 ",health
991,fourth wave of covid-: omicron not the last variant not mild says who lists  misinformation on pandemic  ,health
1089,more wine then corona ain't got nothing on me,health
1256,freezing about corona exam schedule,health
988,why experts believe a fourth covid- wave in india is unlikely to cause much harm ,health
1718,supermarket workers are at the frontline of covid-,health
1252,corona warriors taking a break for lunch,health
1250,in this event of corona we are not working even the entire world isn't in a working condition,health
1346,i would like to wish the war frontliners who are working tirelessly since the start of the covid- thank you all nurses doctors police officer and others a very happy labour day,health
984,probability of th covid- wave extremely low but need to be vigilant cautions virologist jacob john dr john also said that he doesn't believe in predicting waves based on mathematical modelling news by economictimes ,health
1348,replace boredom with a smile and enjoy your lockdown,health
983,will covid th wave hit india what ex-icmr chief says amid omicron ba surge covidthwave covidthwaveinindia covidwave icmr omicronba omicronbasurge ,health
982,will covid th wave hit india eminent virologist says probability low but need to bevigilant ,health
981,no reason to predict fourth covid wave in india: virologist  indianews ,health
1246,coronavirus lockdown migrantworkers,health
980,virologist says there is no scientific epidemiological virological reason to predict a fourth covid wave in india ,health
979,"experts say there is no scientific reason to predict a fourth covid- wave in india

",health
1242,first sanitize then do whatever guys,health
978,"probability of th covid wave extremely low but need to be vigilant cautions eminent virologist 

there's no scientific epidemiological reason to predict a fourth wave says dr jacob john
",health
1357,covid- food relief materials donation project going on at sri sri gnana kshetra kalaburagi,health
1360,while working from the office has now become work-from-home your mind and body still needs some rejuvenation at the end of a long day refresh yourself often lifestyle changes covid,health
1362,coronavirus lockdown brings down pollution levels across india,health
976,covid cases in uk rise again as experts warn another ba-led wave soon ,health
1684,why corona is killing us,health
1086,indian government wishes to all our corona warriors very happy international nurses day,health
1367,reusable maks maskup india,health
1697,we're sorry to say that our exhibitioncumsale event is being cancelled due to covid-,health
1699,now i can go to the supermarket like this without being judged coronavirusoutbreak,health
1810,the humane society of nagpur is taking steps to help prevent the spread of covid- while still working toward its mission of finding forever homes for the animals in their care,health
1044,do you think post-corona it will be socially acceptable to drink a pint with a straw life style postcovid changes newstyle,health
1061,when this corona shit over i need to spend more time with my family lifestyle postcovidlife,health
1069,this is actually worrisome please take care ahmedabad coronaupdatesinindia,health
1071,maskup india to saveyourself and your loved ones,health
1072,dont know when this disgusting phase will end upglyvirus sadlife,health
1037,wear mask save yourself save the nation,health
1035,this corona virus pandemic is going to leave more people bankrupt than dead unemployment sad life no money no work,health
1272,rd round sanitizer spray at tajpor bujarang village,health
1034,the inflammation of the lungs is what kills u corona virus my dad had walking pneumoni i know this,health
1032,i miss singing my heart out at church every sunday corona go away,health
1269,a big salute toall the corona warriors for their selfless service to the nation,health
1075,hats off the police department working on covid- kudos to government,health
1268,we are nothig without our corona warriors,health
1285,newly weds in odisha set examples by donating their marriage fund towards covid relief,health
1294,coronaoutbreak coronavirusupdates coronaviruspandemic india,health
1267,we all salute to corona warriors,health
1014,life style changes is necessary to fight the battle against corona virus,health
1013,who else enjoy working from home,health
1010,satellite images show decline in air pollution over delhi amid coronavirus lockdown,health
1299,flatten the curvestahome staysafe,health
1006,that moment you realize your new medication has side effects identical to corona virus symptoms how will i know,health
1313,your body has ability to fight off covid can decrease over time after vaccination when this happens a booster can help your body build back the immunity that has been lost,health
1315,hey fam not sure if you need a second booster here's what you need to know covidsafety booster nolawellness,health
1317,are you fully vaccinated,health
997,no scientific reason to predict fourth covid wave in india says virologist jacobjohn ,health
975,"covid not yet over  fourth wave likely to hit india in june 
",health
1374,bollywood actor sonusood has become real life hero covidhelp relief materials,health
973,fourth wave of covid-: must continue taking precautions says maha health minister as omicron ba sub-variant spreads globally ,health
1671,international day of the nurse is a special day to express gratitude to the phenomenal nurses working round the clock to keep our planet healthy presently they are doing great work towards defeating covid-,health
943,"times of india: covid: data shows india managed omicron wave better than others says govt
via ",health
1115,we are very thankful to all of you for the support given to us during this corona epidemic and for the orders we recieve from our beloved customers by keeping the trust in radhika bandhani,health
942,final analyse of covid fourth wave in india ,health
940,covid: data shows india managed omicron wave better than others says govt ,health
1723,the consumer financial protection bureau has reported that one employee tested positive for covid- federal financial regulators are mandating that most employees work from home,health
1669,purpose of human life is to serve to show compassion amp; the will to help others kudos to followers of sant shri asharamji bapu who have found a way to help the society even in this corona lockdown,health
933," during the second covid wave large cryogenic tanks were shipped in through the groups mundra port in gujarat  also airlifted some cryogenic tanks  with the help of the indian air force
adani helping india back to normality ",health
930,with the news of the th wave just around the corner the government of india has warned all state governments to follow covid-appropriate rules ,health
1435,we proud to be odia and salute all the corona warriors,health
1117,life before corona virus,health
1725,we need more of this to help seniors coronavirusoutbreak,health
928,fourth wave of covid-: omicron not the last variant not mild says who lists  misinformation on pandemic  ,health
1445,i'd say only fans are delighted with covid the amount of post i've seen of people joining,health
1792,the corona warriors keep distance enjoy quarantine,health
1447,oxygen cylinder emergency in need of that immediately,health
1448,please help me save my sister do let us know if you have contacts for oxygen cylinder,health
1452,due to events regarding covid i will be less active throughout the work week sorry guys,health
925,covid th wave india: can omicron ba and deltacron could be cause of covid th wave in india know what experts say  covid th wave:     omicron ba  deltacron           ,health
1219,safe wedding during covid at hisar,health
923,indian agriculture much like the indian economy as a whole needs reform and needs it urgently ,health
1665,jaipur jail has become the rd biggest jail hotspot of corona,health
1053,april th is the predicted peak for the coronavirus in india,health
1464,im just tryna get my life together and this damn corona pandemic just wont let me ughhhh,health
1118,in these difficult times of the corona pandemic is really heartening when one your own patients comes forth and expresses his thoughts for the health care workers and hospital,health
1114,little thanks to the corona warriors on their special day,health
949,covid: data shows india managed omicron wave better than others says govt india covid positivevibes positivenews goodnewstoday ,health
950,fourth covid wave could occur in india but not yet: experts covid fourthwave indiacovid newcovidvariant omicron vaccine ,health
1418,we must respect these warriors covid covidwarriors,health
972,how hard will fourth wave of covid- hit india heres what experts feel news ,health
1799,a token of appreciation for all the members of south zone chapter and chapter covid- warriors for their selfless support and voluntary contributions,health
970,will india face th wave of covid- top virologist says extremely low probability of fresh casesurge ,health
969,no scientific reason to predict covid th wave in india: virologist dr jacob john  news by economictimes ,health
1099,stahome and staysafe,health
964,wfh will not end here in india mark my words will b soon back to wfh as covid seems to grow again in the world and sometime soon india as well as experts predict i think goi shud be cautioned for the next wave  as we can see the condition of n  getng worse b prepared ,health
1237,corona is no joke,health
1386,in this chaos of covid got an opportunity to refresh you all with music,health
963,as it cos are all set to bring workers back to offices in april there might be another short wave of the infection because of the utter disregard to guidelines covid- india bengaluru,health
962, karma is a bitch xi jinping was laughing when india had that terrible wave of covid,health
1388,life before pandemic seems like a joke to me postcovid life life sucks quarantine mentalhealth issues,health
1389,the destination that won covid war and will soon open for traveler,health
1209,we have two battles to fight covid  and false news associated with it,health
1171,i just did my part in the war against coronavirus join me in supporting those who need a helping hand at this critical hour,health
1104,social distancing the circuit breaker,health
1681,aamras puri season how are you enjoying mangoes or the summer lockdown season,health
956,covid cases in uk rise again as experts warn another ba-led wave soon download mint app for latest in business news - ,health
1679,big salute and respect to our coronawarriors because of them we are safeathome,health
954,"while the omicron subvariant ba has caused a huge surge in south korea- where over  lakh cases were detected in a single day uk and several other european countries indian experts are not worried about it triggering another wave right away
",health
1106,benefits of the remote workfromhome culture are here,health
1401,great gesture by the frontline workers and warriors,health
1402,saluting those who are at the forefront bravely fighting covid-,health
1797,the govt has done its bit has brought us to the brink of victory now it's upto us citizens of our great country india to win the fight show we can beat this virus corona,health
1408,we salute to our brave and hard working corona warriors,health
1414,prisons can easily become corona hotspots because: closed n congested environment no proper ventilation,health
1675,health condition of  covid- active cases stable,health
958,in which month fourth wave of covid will hit india (start of the wave),health
960,covid cases in uk rise again as experts warn another ba-led wave soon ,health
955,"fourth covid wave could occur in india but not yet: experts

",health
90,before taking any vaccine a doctor consultation shld be required examination blood work completed to insure no underlying health risks this will save lives and give comfort to the patient politicians dont care death or disabilities not their problem covidvaccine flushot,health
363,medicine shortages are not necessarily unique to the covidcrisis stresses  senior health economist  this was a very extensive problem well prior to the pandemic foedebate ,health
586,"no covid death due to oxygen shortage in gujarat : health minister tells house gujarat government was well prepared to tackle the covid pandemic

more : ",health
297,"the vaccination drive for precaution dose of the covid vaccine had started for priority groups including frontline workers and senior citizens with co-morbidities  boosterdose precautiondose covidvaccine survey 

",health
513,helpful and practical article from an  educationalpsychologist on how to manage learning losses after the pandemic the reality is we have students who need significant academic support but it must be wrapped in social-emotiona,health
198,i don't want unsafe conditions but these mandates are definitely weeding out the bad apples in police departments the trash is taking itself out covidisnotover covidvaccine,health
666,"do organizations care less about the wellbeing of their employees than they did during the height of the pandemic

employees seem to think so

according to  polls:
--  from  through the emergence of covid- about the same percentage (",health
437,"have you had to adapt your business sometimes your business is open sometimes its click and collect do you know a website can support that

onlineordering onandoff websiteonlineordering pandemic futureproof smartphoneapp smartphoneapplications",health
366,on the covidcrisis giacomo mattin head of unit for food retail and health  notes we won the battle of vaccine production first mapping our capacities; assessing and addressing supply chain bottlenecks; and triggering new industrial partnerships foedebate ,health
667,take mcdonalds which performed decently in pandemic quickly pivoted to curbside and primarily drive-thru pickup (some delivery via doordash type companies too) first focussed business model and outcomes then improved the digital app/ platform for cashless transactions promos ,health
668,ifse brings you highlights from the rbc publication powering up: preparing canadas skilled trades for a post-pandemic economy in this design series ,health
54," not really

vaccines are good and work

also naturalimmunity is real and works

ignoring science and reality doesn't help here  covid covidvaccine naturalimmunity ",health
475,one of the groups we worked with through  was the ipc  this was a space where members came together throughout the pandemic the work with the bowes museum was especially creative communities ukme teesside middlesbrough redcar   ,health
689,covid-: should india be bracing for a fourth wave - bbc news ,health
687,"a new hybrid covid variant known as deltacron is here even in india  brings all the details

illustration:  

",health
254,why 'waning immunity' from covid- vaccines isn't as bad as it sounds  cbc news ,health
62,i never needed to know who around me had their mmr or polio vaccine i still don't need to i don't need to know who has a covidvaccine either ,health
500,"the discussion also underlined the need for industry initiatives like qumra the only one of its kind in the region in providing a continuous arc of support to the filmmaking community especially in the midst of the ongoing pandemic

qatar doha 
",health
240,name,health
387,"the new covid wave is driven by two events:

 latest booster drive
 waning immunity

this is now a pandemic of the vaccinated

 most recent uk vaccine data of deaths ",health
379,c - freeshipping  because you deserve best  api co booster freshwater aquarium plant api        ,health
481,"we hope that this national day of reflection helps you reach out for support if you are grieving feeling isolated or anxious and encourages you to have conversations with those in your community who have lost someone during the pandemic

pandemic grief loss mentalhealth",health
483,hygiene amp; immunity kit distribution to elders in kerala the kit includes important supplies to help survive the pandemic initiative supported by  leavenoonebehind showeldersucare seniorcare unitefightcorona  health sehat eldercare actofkindness ,health
720,covid-: should india be bracing for a fourth wave - bbc news ,health
602," jetblue american airlines and southwest pilots are suing the  over the federal mask mandate saying it encourages unruly behavior but they're citing flawed science
masks sourcecontrol pandemic restrictions",health
97,"ultracrepidarianism
the habit of giving opinions and advice on matters outside of one's knowledge or competence 

all those self-proclaimed covidvaccine experts spring to mind
ultracrepidarian",health
258,the covidvaccine isnt the hill to die on nothings going to change in doing so theres plenty of reasons to be mistrusting but dont jeopardize ur life in that theres going to be more battles to come we need u to be there to fight them the future needs u covidvaxexposed,health
582,"a follow-up training for the barefoot health workers was conducted in the alakudi village of tamil nadu on march  

it intended to refresh the learnings that health workers had gained in association with casa to help the communities during the ongoing pandemic ",health
397,"covid cases will rise in coming weeks due to new ba variant experts predict -  news
covid newvariant 
  ",health
518,"were you a headteacher during the pandemic 

julian shares his experience of how coaching  and mentoring helped him to re-define himself as a leader and a person he was a dream to work with as he transformed his mind and outlook edutwitter education edchat principal ",health
534,pushed to the frontline and played a vital part in supporting the covid pandemic were incredibly proud to have supported these sectors and of all of our candidates and clients for their commitment and unrivalled determination to overcome the challenges and changes,health
195,'the man who knows too much'- witness hammers ncb on cruiser raid mumbai oct  - the stunning revelations by an 'independent witness' on the circumstances pre,health
639,"its important to be aware of the signs that can help with managing symptoms of anxiety and depression

pandemic pandemicstress covidstress pandemicanxiety covidanxiety anxiety depression mentalhealth mentalhealthawareness mentalhealthmatters

",health
4,not good news for ppl on anti-cd meds rituximab rituxan ocrevus kesimpta immunity covidvaccine news multiplesclerosis ,health
578,"the pandemic has brought about big changes in how the elderly engage with smartphones and the internet and it is helping them in unexpected ways writes 
",health
407,jodi barnett naturopathic doctor valparaiso and laporte indiana ,health
